experiment,panel,k,kappa,eta,pilot_trial,pilot_init_seed,pilot_run_seed,converged,iterations,true_grad_norm,hessian_index,index_ok,grad_ok,max_iter,tol,eta_v,n_inner,n_grad_samples,n_hv_samples,l
higher_index_rotated,higher_index,1,100,0.001,0,1010042,2010042,False,3000,0.10322629660367966,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.001,1,1010043,2010043,False,3000,0.09558897465467453,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.001,2,1010044,2010044,False,3000,0.10553828626871109,0,False,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.001,3,1010045,2010045,False,3000,0.10304828733205795,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.001,4,1010046,2010046,False,3000,0.11705643683671951,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.005,0,1010042,2010042,False,3000,0.015247129835188389,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.005,1,1010043,2010043,False,3000,0.013687942177057266,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.005,2,1010044,2010044,False,3000,0.021306384354829788,0,False,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.005,3,1010045,2010045,False,3000,0.016401687636971474,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.005,4,1010046,2010046,False,3000,0.016843343153595924,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.01,0,1010042,2010042,False,3000,0.006556592416018248,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.01,1,1010043,2010043,False,3000,0.005636364687234163,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.01,2,1010044,2010044,False,3000,0.008260994218289852,0,False,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.01,3,1010045,2010045,False,3000,0.006842342205345631,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.01,4,1010046,2010046,False,3000,0.006975873373448849,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.02,0,1010042,2010042,False,3000,0.0026868165004998446,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.02,1,1010043,2010043,False,3000,0.002092646434903145,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.02,2,1010044,2010044,False,3000,0.003922355826944113,0,False,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.02,3,1010045,2010045,False,3000,0.0026251855306327343,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.02,4,1010046,2010046,False,3000,0.002869830932468176,1,True,False,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.05,0,1010042,2010042,True,2077,0.000998259405605495,1,True,True,3000,0.001,0.01,5,5,3,0.0001
higher_index_rotated,higher_index,1,100,0.05,1,1010043,2010043,True,1916,0.000995567999780178,1,True,True,3000,0.001,0.01,5,5,3,0.0001
